block_number,transaction_index,log_index,transaction_hash,address,topic0,topic1,topic2,topic3,data,chain_id
15596644,15,19,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0x8dbf6a9e8fa47ce7696218551aa471c284c8ece2,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000da699f44fc70446d49795a2b33b2f6a7c2309c0e,0x0000000000000000000000008dbf6a9e8fa47ce7696218551aa471c284c8ece2,,0x0000000000000000000000000000000000000000000016837bb36131cc9fc4b8,1
15596644,15,20,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0x8dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925,0x0000000000000000000000008dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0x0000000000000000000000000000000000000000000016e83321bec2b53577c1,1
15596644,15,21,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0x8dbf6a9e8fa47ce7696218551aa471c284c8ece2,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000008dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x000000000000000000000000ea388a9fa5de7fc7b4c863a9e680ef47c353160e,,0x0000000000000000000000000000000000000000000016e83321bec2b53577c1,1
15596644,15,22,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0x8dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925,0x0000000000000000000000008dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0x0000000000000000000000000000000000000000000000000000000000000000,1
15596644,15,23,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000ea388a9fa5de7fc7b4c863a9e680ef47c353160e,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0x00000000000000000000000000000000000000000000000000172833289f0c81,1
15596644,15,24,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0xea388a9fa5de7fc7b4c863a9e680ef47c353160e,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,,,,0x000000000000000000000000000000000000000000a41f630dc3c65a0129070f000000000000000000000000000000000000000000000000a65282381aab5653,1
15596644,15,25,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0xea388a9fa5de7fc7b4c863a9e680ef47c353160e,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0x0000000000000000000000000000000000000000000016e83321bec2b53577c10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000172833289f0c81,1
15596644,15,26,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7fcf532c15f0a6db0bd6d0e038bea71d30d808c7d98cb3bf7268a95bf5081b65,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,,0x00000000000000000000000000000000000000000000000000172833289f0c81,1
15596644,15,27,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0x8dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925,0x0000000000000000000000008dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0x000000000000000000000000000000000000000000000345be296464f550c7f7,1
15596644,15,28,0xc8ec642a34cee311a8d103e067d0441cb6799a9fcbd610d21b53c25bede22358,0x8dbf6a9e8fa47ce7696218551aa471c284c8ece2,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000008dbf6a9e8fa47ce7696218551aa471c284c8ece2,0x000000000000000000000000ea388a9fa5de7fc7b4c863a9e680ef47c353160e,,0x0000000000000000000000000000000000000000000002db397cbd84f54b806d,1
